user,location,content,time
krsahlin,Stockholm,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-26 06:47:42
jcchacond,"London, United Kingdom",RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-26 06:19:10
allawayr,"Seattle, WA",RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-26 02:55:13
SingleCellMedia,Italy,RT @LaraUrban42: Very exciting talks by @benjraphael and @james_y_zou @UCLA_CGSI @recomb2020 about computer vision/spatio-temporal genomics…,2020-06-26 01:04:23
LaraUrban42,New Zealand ,Very exciting talks by @benjraphael and @james_y_zou @UCLA_CGSI @recomb2020 about computer vision/spatio-temporal g… https://t.co/BfhGZQZTab,2020-06-26 00:52:02
ozgunharmanci,"Houston, TX",RT @zhizhid: Excited to share our newest preprint from the young and talented Ahsan Sanaullah and @ShaojieZhang_ . We introduced the dynami…,2020-06-26 00:10:31
Ptdtan,"Sai Gon, Viet Nam",RT @pashadag: Check out our latest work with @IliaMinkin #RECOMB2020 https://t.co/vF1EfZv3aR,2020-06-25 23:28:06
WumingG,"Minneapolis, MN",So excited to share the science @recomb2020 https://t.co/eKvuzer18n,2020-06-25 23:19:47
ldiambra,La Plata,RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-25 21:59:02
hajirasouliha,"New York, USA","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 21:51:44
calkan_cs,http://instagram.com/calkan_cs,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 21:47:51
ClaudioTripodo,,RT @iScience_CP: Speedup trajectory inference and detection of cell types in #singlecell RNA-Seq with new #method Sphetcher https://t.co/P8…,2020-06-25 21:33:35
DrKathyRichmond,Seattle Washington,RT @jeriscience: Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG @irepan_salvador…,2020-06-25 21:22:48
jeriscience,New York,Thanks for the great talks at the virtual @DR_E_A_M special session on single cells @recomb2020 @WumingG… https://t.co/TUamPNbAFb,2020-06-25 21:22:08
vanhoan310,Munich,RT @iScience_CP: Speedup trajectory inference and detection of cell types in #singlecell RNA-Seq with new #method Sphetcher https://t.co/P8…,2020-06-25 20:53:52
AidaAndres,London,RT @EvolutionQuant: tomorrow I am giving a talk on our latest advancements on popgen estimates from NGS data at the ongoing #RECOMB2020 as…,2020-06-25 20:15:37
BQPMalfoy,"Lille, France","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 20:09:56
pashadag,Penn State University,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 19:42:10
KarelBrinda,"Boston, MA","RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 18:56:29
serghei_mangul,Santa Monica,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 18:47:05
YulongNiu,,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 18:39:26
CamilleMrcht,,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 18:26:03
nomad421,,"RT @RECOMBseq: #RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020 June 26…",2020-06-25 18:25:51
RECOMBseq,"Washington, DC May 3-4 2019","#RECOMB2020 participants; remember, when RECOMB ends, the fun doesn’t!  Stick around (virtually) for #RECOMBSEQ2020… https://t.co/U0Ke5OHKC8",2020-06-25 18:20:56
RECOMBseq,"Washington, DC May 3-4 2019",RT @iScience_CP: Speedup trajectory inference and detection of cell types in #singlecell RNA-Seq with new #method Sphetcher https://t.co/P8…,2020-06-25 18:17:33
abhi_ratnakumar,New York,PWAS:Proteome-association study. Combine genotype data with knowledge on protein function to develop gene function… https://t.co/0Trh4WDGIF,2020-06-25 18:15:24
