user,location,content,time
eLifeInnovation,"Cambridge, England","Our community manager @emmy_ft will be around at #BCC2020, sharing the latest updates on enriching papers with code… https://t.co/d9CD8DRVx9",2020-07-15 11:45:51
Bene_Madon,,RT @Yvan2935: Interesting workflow oriented initiative! Did you know that you can use @galaxyproject workflows in biodiversity research? Wh…,2020-07-15 10:26:00
sysmednet,Imprint:,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 10:22:45
hrhotz,,RT @Yvan2935: Interesting workflow oriented initiative! Did you know that you can use @galaxyproject workflows in biodiversity research? Wh…,2020-07-15 10:08:01
Yvan2935,Concarneau,Interesting workflow oriented initiative! Did you know that you can use @galaxyproject workflows in biodiversity re… https://t.co/R78avHEgxg,2020-07-15 09:38:45
PGPUK_genomes,United Kingdom,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 09:34:14
glorybasumata,India,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-15 09:26:22
lrodrin,Ripoll,RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 08:46:36
NicolaSoranzo,"Norwich, UK",RT @ELIXIREurope: 🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject and @Au…,2020-07-15 08:43:43
ELIXIREurope,Europe,🚨Registration closing #TODAY for this conference where ELIXIR is heavily involved. Co-organised by @galaxyproject a… https://t.co/HdpksoD4wP,2020-07-15 08:42:39
MCFoell,,"RT @pratikomics: The @usegalaxyp team along with @shiltemann will be presenting a workshop on ""Adding Fun(ction) to #microbiome Analysis: #…",2020-07-15 07:13:11
qualityisarul3,Citizen Autodidact,"RT @ucscgenomics: Coming up: @UCSC_BSOE's @geezlooueez, @easheets &amp;  @BroadInstitute collaborators will lead a #BCC2020 workshop 7/18 on re…",2020-07-15 06:08:09
