name,predict_gender,female_prob,male_prob,country,affiliation,race,black_prob,white_prob,hispanic_prob,api_prob,"Asian,GreaterEastAsian,EastAsian_prob","Asian,GreaterEastAsian,Japanese_prob","Asian,IndianSubContinent_prob","GreaterAfrican,Africans_prob","GreaterAfrican,Muslim_prob","GreaterEuropean,British_prob","GreaterEuropean,EastEuropean_prob","GreaterEuropean,WestEuropean,French_prob","GreaterEuropean,WestEuropean,Germanic_prob","GreaterEuropean,Jewish_prob","GreaterEuropean,WestEuropean,Hispanic_prob","GreaterEuropean,WestEuropean,Italian_prob","GreaterEuropean,WestEuropean,Nordic_prob",race_census
Lori Shepherd,female,0.8659979274030714,0.13400207259692906,United States,Roswell Park Comprehensive Cancer Center,"GreaterEuropean,British",0.14093196,0.8443679000000001,0.012195356000000001,0.002504749,0.0030764192,0.0039857216,0.0051769544,0.0027575553,0.0007738038,0.9250499,0.0069058584,0.02354931,0.0010212808,0.021161482,0.0038374092,0.0022671558,0.00043715598,white
Beri Shifaw,female,0.8659979274030714,0.13400207259692906,United States,Broad Institute,"Asian,GreaterEastAsian,EastAsian",0.16675045,0.81902236,0.007612070500000001,0.006615102800000001,0.33876213,0.11523265,0.00081366976,0.12071212,0.015513041,0.24549356,0.011106181,0.007189611,0.00060861476,0.124201864,0.003987745,0.016099647,0.0002792608,white
Solomon Shorser,male,0.4411264703893052,0.5588735296106946,Canada,Ontario Institute for Cancer Research,"GreaterEuropean,British",0.03305056,0.9450871,0.014702851000000001,0.0071595144,0.0029274968,0.0033685577,0.020872004,0.0061992956,0.0029735854,0.5937469,0.014046606,0.014495049,0.003221942,0.29186022,0.03241966,0.008666093,0.0052025975,white
Michael Shtelma,male,0.4961049868702132,0.5038950131297869,Germany,Databricks,"GreaterEuropean,Jewish",0.04985939,0.8913085999999999,0.04859159,0.010240355500000001,0.002013938,0.00047981925,0.080562346,0.12645663,0.05448069,0.07264126,0.0702669,0.041553017,0.12893367,0.3466514,0.041035883,0.02622076,0.008703785,white
Harpreet Singh,male,0.296259606862796,0.7037403931372039,India,Hans Raj Mahila Maha Vidyalaya,"Asian,IndianSubContinent",0.016847383,0.09098026,0.014888443999999999,0.87728393,0.0006235421,9.232055e-05,0.9659761,0.0013966481,0.0055081192,0.02096285,0.00041214543,0.0007058798,7.347475e-05,0.0009434881,0.003125019,0.00012626415,5.4145326e-05,api
Muhammad Farhan Sjaugi,male,0.14564986557001305,0.8543501344299869,Malaysia,Perdana University,"GreaterEuropean,WestEuropean,Nordic",0.0026380105,0.9586621,0.031116262000000002,0.007583655999999999,0.00019373263,0.0004592008,6.2797066e-05,0.00079195516,0.0020561,0.0015809584,0.025501965,0.0023473303,0.004703359,0.015869364,0.00060884363,0.0049375584,0.9408868,white
Yuriy Skripchenko,female,0.5786625849764301,0.42133741502356975,United States,NCBI/ NLH,"GreaterEuropean,EastEuropean",0.0015208649,0.9671213,0.026047397000000003,0.005310497,0.0005845814,0.0010838417,0.00072294124,0.0065709245,0.0040542576,0.05025837,0.8019577,0.06316511,0.038289174,0.01706764,0.0056863953,0.0085689,0.0019901611,white
Clare Slogget,female,0.7589323620194499,0.24106763798055,Australia,University of Melbourne,"GreaterEuropean,British",0.014641488000000001,0.9641778,0.015908858,0.0052718758,0.010942778,0.0011206268,0.009160684,0.026887672,0.020103771,0.672188,0.016704556,0.12554835,0.008685553,0.017635044,0.023747914,0.010841328,0.056433767,white
Nicola Soranzo,female,0.9825659675953974,0.017434032404602017,United Kingdom,Earlham Institute,"GreaterEuropean,WestEuropean,Italian",0.005066587,0.8704179,0.10744114,0.017074388,0.0010813384,0.016178612,0.0004915116,0.004982439,0.00045035125,0.0073831403,0.00011667678,0.03925199,0.00069827575,0.0015559501,0.27241683,0.65513325,0.00025963373,white
Margaret Staton,male,0.296259606862796,0.7037403931372039,United States,"University of Tennessee, Knoxville","GreaterEuropean,British",0.28512484,0.68782264,0.024574144,0.0024784186,0.003827918,0.0035211118,0.00038034678,0.0038274033,0.0032312616,0.8011427,0.008072205,0.060476188,0.010026845,0.05377617,0.023755863,0.01729068,0.010671419,white
Garrett Stevens,male,0.296259606862796,0.7037403931372039,United States,"University of California, Berkeley","GreaterEuropean,British",0.14703517,0.8351943000000002,0.014633938,0.00313664,0.0055767735,0.0046256827,0.012309118,0.0027018678,0.004204965,0.8802885,0.004471115,0.0142427115,0.0135809155,0.027006313,0.0116749685,0.0046200566,0.014697066,white
Hirotaka Suetake,female,0.9825659675953974,0.017434032404602017,Japan,University of Tokyo,"Asian,GreaterEastAsian,Japanese",0.07870102,0.87713474,0.015353697,0.028810500000000003,0.034973875,0.6704202,0.029678652,0.01987624,0.0078382455,0.13441613,0.002890648,0.015302556,0.012059332,0.03641167,0.015485146,0.0035433716,0.017103834,white
Yi Sun,female,0.8659979274030714,0.13400207259692906,Germany,EMBL,"Asian,GreaterEastAsian,EastAsian",0.0043453095,0.028862234,0.005898517,0.9608939000000001,0.96799225,0.00968457,0.0024879093,0.0001064501,0.0007826554,0.0054557677,0.0035849374,0.0018886384,0.00022058487,0.0054060007,0.0010491239,0.0007770573,0.0005641259,api
Anantika Suri,female,0.9825659675953974,0.017434032404602017,India,Guru Nanak Dev University,"Asian,IndianSubContinent",0.09014586,0.64843005,0.07460722,0.18681684,0.00503439,0.05698719,0.7575038,0.018384203,0.07922103,0.0049598967,0.0012093897,0.016888777,0.00077507296,0.019458016,0.008008377,0.027469076,0.0041006873,white
Tyson Swetnam,male,0.4411264703893052,0.5588735296106946,United States,University of Arizona,"GreaterEuropean,British",0.014049903999999998,0.95961356,0.015426747,0.010909806999999999,0.0026311092,5.6768684e-05,0.19617991,0.004795743,0.0024105625,0.6771779,0.01589678,0.020377036,0.007874066,0.06143971,0.007476392,0.00096728496,0.0027166614,white
Anna Syme,female,0.9825659675953974,0.017434032404602017,Australia,Royal Botanical Gardens,"GreaterEuropean,British",0.03761988,0.9235609,0.033921473,0.004897642,0.005180977,0.00019453237,0.00781457,0.03557651,0.0019856861,0.82480884,0.009836062,0.020384045,0.010466515,0.05973256,0.020828757,0.0018456789,0.0013453402,white
Hui Tang,female,0.8659979274030714,0.13400207259692906,Norway,University of Oslo,"Asian,GreaterEastAsian,EastAsian",0.0044041034000000005,0.022321004,0.016497647,0.9567773,0.948773,0.0056607295,0.0019511356,0.0031130924,0.0019220662,0.02140709,0.001609238,0.0056393812,0.0014229626,0.0025034482,0.0020232624,0.00078224257,0.0031922192,api
Marco Antonio Tangaro,male,0.17846431317726094,0.8215356868227393,Italy,"Institute of Biomembranes, Bioenergetics and Molecular Biotechnologies - National Research Council","GreaterEuropean,WestEuropean,Italian",0.010510378999999999,0.83127815,0.13334958,0.02486195,0.009016194,0.060446557,0.018181264,0.25709382,0.0021166308,0.08532429,0.0031629542,0.04013448,0.020372238,0.024748446,0.049716216,0.42939204,0.00029485574,white
Morgan Taschuk,male,0.4411264703893052,0.5588735296106946,Canada,Ontario Institute for Cancer Research,"GreaterEuropean,EastEuropean",0.0010727252000000001,0.99017906,0.0068034440000000005,0.0019447861999999998,0.058927786,0.005018398,0.0035821614,0.004052211,0.01803678,0.08132721,0.45233843,0.058284514,0.05641395,0.1686096,0.05745745,0.012188981,0.02376251,white
Mehmet Tekman,male,0.296259606862796,0.7037403931372039,Germany,University of Freiburg,"GreaterAfrican,Muslim",0.015746351000000002,0.94683,0.02938895,0.008034664,0.005927558,0.005169179,0.13173634,0.043654412,0.37794042,0.042679876,0.07065731,0.009571237,0.062358994,0.186244,0.04928431,0.011432889,0.0033434555,white
Kiran K Telukunta,male,0.4411264703893052,0.5588735296106946,Belgium,ELIXIR Belgium - VIB Center for Plant Systems Biology,"GreaterAfrican,Africans",0.0021362524,0.8959138000000001,0.022075247000000003,0.079874754,0.009402196,0.0051876632,0.19196124,0.6584314,0.003825937,0.04185098,0.0025704517,0.0045927204,0.0024601624,0.010518799,0.016460074,0.052071493,0.0006668169,white
